id,category,atelier_calls,pure_calls,calls_overhead,atelier_clarification_turns,pure_clarification_turns
F01,floue,5,1,4,1,0
F02,floue,5,2,3,1,1
F03,floue,5,2,3,1,1
F04,floue,5,1,4,1,0
F05,floue,5,2,3,1,1
F06,floue,5,2,3,1,1
F07,floue,6,2,4,1,1
F08,floue,5,1,4,1,0
F09,floue,5,2,3,1,1
F10,floue,8,2,6,2,1
S01,simple,3,1,2,0,0
S02,simple,3,1,2,0,0
S03,simple,3,4,-1,0,3
S04,simple,3,1,2,0,0
S05,simple,3,1,2,0,0
S06,simple,3,2,1,0,1
S07,simple,4,1,3,0,0
S08,simple,4,1,3,0,0
S09,simple,4,1,3,0,0
S10,simple,3,1,2,0,0
C01,complexe,4,1,3,0,0
C02,complexe,4,1,3,0,0
C03,complexe,3,1,2,0,0
C04,complexe,4,1,3,0,0
C05,complexe,3,1,2,0,0
C06,complexe,4,1,3,0,0
C07,complexe,4,1,3,0,0
C08,complexe,4,1,3,0,0
C09,complexe,3,1,2,0,0
C10,complexe,3,1,2,0,0
