id,category,atelier_cost_usd,pure_cost_usd,cost_overhead_usd
F01,floue,0.02512,0.005176,0.019944
F02,floue,0.051748,0.056064,-0.004316
F03,floue,0.050924,0.056624,-0.0057
F04,floue,0.01756,0.002068,0.015492
F05,floue,0.035748,0.036036,-0.000288
F06,floue,0.020104,0.024184,-0.00408
F07,floue,0.232408,0.0303,0.202108
F08,floue,0.014824,0.002368,0.012456
F09,floue,0.02218,0.021328,0.000852
F10,floue,0.243472,0.046248,0.197224
S01,simple,0.001284,0.000652,0.000632
S02,simple,0.01312,0.01324,-0.00012
S03,simple,0.004928,0.023564,-0.018636
S04,simple,0.016568,0.006656,0.009912
S05,simple,0.001292,0.000652,0.00064
S06,simple,0.047056,0.01198,0.035076
S07,simple,0.146268,0.0032,0.143068
S08,simple,0.159088,0.005036,0.154052
S09,simple,0.193792,0.01284,0.180952
S10,simple,0.002256,0.0018,0.000456
C01,complexe,0.246468,0.050336,0.196132
C02,complexe,0.25674,0.050288,0.206452
C03,complexe,0.198704,0.050296,0.148408
C04,complexe,0.256996,0.050268,0.206728
C05,complexe,0.198676,0.050268,0.148408
C06,complexe,0.256652,0.050284,0.206368
C07,complexe,0.244912,0.050264,0.194648
C08,complexe,0.259872,0.050276,0.209596
C09,complexe,0.19866,0.050252,0.148408
C10,complexe,0.198688,0.05028,0.148408
