id,category,atelier_latency_ms,pure_latency_ms,latency_overhead_ms
F01,floue,28544.972,6654.698,21890.274
F02,floue,43475.976,45074.099,-1598.1229999999996
F03,floue,37668.327,39261.518,-1593.190999999999
F04,floue,15264.799,2505.119,12759.68
F05,floue,33253.58,28770.88,4482.700000000001
F06,floue,20129.789,22239.728,-2109.9389999999985
F07,floue,124285.3,22742.726,101542.57400000001
F08,floue,14974.85,2932.992,12041.858
F09,floue,19291.697,15106.713,4184.984
F10,floue,130148.793,35057.236,95091.557
S01,simple,3821.153,1501.579,2319.5739999999996
S02,simple,12022.842,11214.706,808.1360000000004
S03,simple,5233.232,15811.931,-10578.699
S04,simple,15120.16,6656.212,8463.948
S05,simple,2793.63,2048.226,745.404
S06,simple,26461.155,8035.564,18425.591
S07,simple,58452.544,3335.407,55117.137
S08,simple,70710.783,3975.145,66735.63799999999
S09,simple,89201.396,10832.899,78368.49699999999
S10,simple,5153.027,1926.126,3226.901
C01,complexe,125779.463,35796.363,89983.1
C02,complexe,132104.588,38119.366,93985.22199999998
C03,complexe,93117.156,34758.749,58358.407
C04,complexe,132930.707,33262.572,99668.135
C05,complexe,104923.354,37286.837,67636.517
C06,complexe,128754.889,36133.504,92621.385
C07,complexe,121305.17,36339.13,84966.04000000001
C08,complexe,137372.471,35945.832,101426.639
C09,complexe,103551.868,35815.183,67736.685
C10,complexe,106299.42,43196.287,63103.133
